v1,v2
55603,56269
55603,56427
55604,56022
55604,56422
55611,55892
55611,56340
55623,55724
55623,55986
55623,56246
55625,55965
55625,56296
55630,55940
55630,56374
55630,56397
55639,55948
55639,56376
55643,55770
55672,56288
55675,56006
55675,56022
55675,56422
55700,56252
55700,56264
55705,56275
55724,55986
55724,56246
55734,56324
55734,56356
55739,56382
55748,55797
55749,55960
55760,56188
55768,56362
55774,56021
55774,56400
55780,56388
55783,56099
55783,56142
55783,56174
55783,56293
55783,56321
55784,55992
55792,56481
55803,56237
55851,56004
55851,56043
55851,56289
55851,56403
55854,56260
55861,56026
55866,56353
55892,56340
55892,56456
55905,56413
55913,56254
55923,56107
55923,56294
55923,56315
55923,56341
55923,56404
55927,56229
55930,56269
55930,56310
55932,56051
55935,56271
55940,56374
55940,56397
55948,56376
55954,56256
55965,56296
55976,56189
55976,56368
55976,56437
55978,56439
55986,56246
55993,56326
55993,56441
55996,56349
55996,56404
55998,56217
55998,56399
55998,56436
56004,56043
56004,56403
56006,56022
56006,56422
56022,56422
56043,56289
56043,56403
56099,56142
56099,56174
56099,56293
56099,56321
56100,56148
56100,56487
56102,56309
56107,56294
56107,56315
56107,56341
56118,56467
56119,56147
56132,56226
56133,56381
56133,56480
56137,56245
56137,56389
56141,56431
56142,56321
56148,56487
56150,56276
56158,56469
56168,56212
56174,56293
56174,56321
56184,56366
56189,56368
56189,56437
56200,56440
56206,56485
56217,56399
56217,56436
56225,56433
56252,56264
56269,56310
56269,56427
56273,56437
56273,56481
56278,56325
56282,56482
56284,56474
56288,56332
56288,56339
56289,56403
56289,56448
56293,56321
56294,56315
56294,56341
56294,56404
56305,56468
56306,56417
56310,56369
56312,56383
56315,56341
56315,56404
56318,56369
56324,56356
56326,56441
56332,56339
56340,56456
56341,56404
56364,56371
56372,56448
56374,56397
56381,56480
56399,56436
56406,56415
56409,56464
56410,56459
56428,56478
56465,56472
56473,56488
40565,43787
40565,43873
40795,42067
40795,42959
40795,43510
40795,43536
40795,43714
40795,43733
40795,43921
40871,43865
41025,42489
41025,43087
41025,43617
41232,42044
41232,43847
41301,42916
41427,42082
41427,43347
41461,42206
41461,42806
41461,43373
41461,43676
41461,43738
41461,43790
41461,43908
41507,43403
41507,43488
41553,42148
41553,43334
41553,43756
41553,43832
41553,43871
41553,43897
41563,43438
41583,43598
41653,41800
41653,43006
41653,43638
41653,43861
41661,42078
41661,42637
41661,43246
41661,43392
41661,43641
41661,43737
41661,43773
41671,43296
41671,43846
41775,42847
41800,43006
41800,43843
41800,43861
41832,43122
41832,43268
41849,42717
41849,43029
41849,43642
41849,43822
41849,43895
41874,43811
41874,43825
41917,42676
41917,43662
41917,43797
41917,43831
41932,43652
41932,43920
41934,43134
41934,43604
41934,43607
41963,42230
41963,42817
41963,43101
41963,43740
41963,43867
41969,42046
42044,43847
42050,42286
42067,42959
42067,43510
42067,43536
42067,43714
42067,43733
42067,43921
42078,42637
42078,43246
42078,43392
42078,43641
42078,43737
42078,43773
42080,42707
42080,43391
42080,43463
42080,43718
42082,43347
42115,42883
42137,43306
42138,43369
42138,43382
42138,43616
42138,43739
42138,43863
42138,43870
42138,43884
42138,43887
42141,42564
42148,43334
42148,43756
42148,43832
42148,43871
42148,43897
42154,42296
42154,42333
42154,43790
42170,43826
42176,43542
42206,42806
42206,43373
42206,43676
42206,43738
42206,43790
42206,43908
42230,42296
42230,43101
42230,43740
42230,43867
42294,43545
42296,42333
42296,43790
42301,42539
42309,42614
42309,43332
42333,43790
42346,43866
42350,43403
42366,43876
42371,43100
42385,42461
42385,43466
42385,43539
42385,43553
42385,43649
42385,43915
42385,43916
42387,43338
42403,43833
42431,42819
42448,42860
42461,43466
42461,43539
42461,43553
42461,43649
42461,43915
42461,43916
42468,43804
42475,43593
42485,43730
42489,43087
42562,42868
42562,43655
42572,43427
42611,43317
42614,43332
42637,42696
42637,43246
42637,43392
42637,43641
42637,43737
42651,43583
42676,43797
42696,43246
42707,43391
42707,43463
42707,43718
42717,43029
42717,43642
42717,43822
42717,43895
42722,42912
42722,43572
42722,43801
42729,43584
42730,43791
42740,43715
42745,43264
42745,43436
42765,43706
42768,43554
42778,43316
42786,43331
42786,43662
42786,43758
42786,43831
42787,43140
42806,43373
42806,43676
42806,43738
42806,43908
42813,43605
42817,43101
42817,43740
42817,43867
42818,43730
42848,42913
42848,43722
42879,43647
42881,42989
42881,43225
42881,43606
42881,43829
42903,43658
42912,43572
42912,43586
42912,43801
42913,43722
42948,43336
42959,43510
42959,43536
42959,43714
42959,43733
42959,43921
42960,43504
42966,43644
42982,43768
42989,43225
42989,43348
42989,43397
42989,43606
42999,43538
42999,43802
42999,43856
43003,43380
43006,43843
43006,43861
43023,43803
43029,43642
43029,43822
43029,43895
43050,43757
43076,43093
43076,43196
43078,43558
43101,43740
43101,43867
43106,43913
43122,43268
43133,43659
43134,43604
43134,43607
43134,43688
43136,43909
43137,43805
43145,43499
43151,43898
43204,43623
43204,43857
43208,43712
43224,43408
43225,43606
43225,43829
43246,43392
43246,43641
43246,43737
43256,43562
43256,43744
43263,43617
43264,43436
43274,43922
43294,43534
43296,43846
43299,43578
43305,43885
43313,43638
43331,43758
43334,43756
43334,43832
43334,43871
43334,43897
43348,43397
43348,43606
43353,43658
43354,43892
43354,43913
43364,43817
43368,43596
43369,43382
43369,43616
43369,43739
43369,43863
43369,43870
43373,43676
43373,43738
43373,43908
43380,43825
43382,43616
43382,43739
43382,43863
43382,43870
43382,43884
43382,43887
43391,43463
43391,43718
43392,43641
43392,43737
43392,43773
43397,43606
43398,43824
43403,43488
43405,43879
43438,43576
43438,43592
43445,43904
43463,43718
43466,43539
43466,43553
43466,43649
43466,43915
43466,43916
43478,43571
43480,43654
43480,43830
43484,43903
43510,43536
43510,43714
43510,43733
43510,43921
43532,43653
43536,43714
43536,43733
43536,43921
43538,43802
43538,43856
43539,43553
43539,43649
43539,43915
43539,43916
43541,43912
43553,43649
43553,43915
43553,43916
43555,43590
43561,43807
43562,43744
43571,43728
43572,43586
43572,43801
43586,43801
43597,43643
43597,43786
43604,43607
43604,43688
43607,43688
43609,43907
43612,43629
43616,43739
43616,43863
43616,43870
43623,43857
43633,43754
43638,43861
43641,43737
43641,43773
43642,43822
43642,43895
43643,43786
43649,43915
43649,43916
43652,43920
43654,43830
43662,43831
43664,43886
43676,43738
43676,43908
43714,43733
43714,43921
43716,43839
43716,43844
43723,43764
43727,43840
43733,43921
43737,43773
43738,43908
43739,43863
43739,43870
43739,43884
43740,43867
43742,43872
43746,43777
43751,43755
43751,43799
43755,43799
43756,43832
43756,43871
43756,43897
43777,43788
43779,43896
43787,43873
43788,43917
43811,43825
43814,43822
43822,43895
43832,43871
43832,43897
43833,43845
43839,43844
43860,43880
43863,43870
43870,43884
43871,43897
43884,43887
43915,43916
62092,66112
62092,66640
62985,66592
63259,65898
63546,65908
63546,66543
63546,66645
63564,65910
63564,66282
63564,66509
63564,66532
63590,65929
63802,66371
63802,66430
63844,64917
63863,65515
63863,66600
63962,65812
64114,66018
64114,66281
64114,66424
64114,66576
64153,66394
64153,66623
64248,64473
64248,66654
64265,66527
64265,66667
64298,66162
64298,66550
64418,66122
64418,66429
64462,65690
64473,66654
64503,64509
64503,65750
64503,66180
64503,66391
64506,66294
64509,65750
64509,65898
64509,66180
64509,66391
64524,66457
64552,66411
64557,65798
64557,66425
64599,65815
64616,66381
64619,66606
64619,66618
64642,65401
64667,65714
64720,65565
64739,65383
64739,66256
64739,66483
64768,66242
64768,66477
64768,66539
64837,65670
64853,64913
64926,66364
64926,66390
65047,65143
65047,66572
65062,66514
65076,66282
65089,65191
65090,65631
65090,66374
65090,66492
65090,66581
65090,66644
65118,65834
65118,65912
65118,66571
65128,66155
65161,66363
65166,65546
65166,65663
65166,66573
65166,66577
65210,66142
65210,66202
65210,66471
65300,65414
65312,66454
65340,65431
65340,66289
65361,66357
65364,65829
65383,66483
65387,65988
65412,66326
65418,66540
65427,65769
65483,66101
65483,66179
65512,65809
65512,65821
65512,66225
65515,66372
65537,66369
65546,65663
65546,66573
65546,66577
65552,66580
65555,66438
65563,66151
65576,66522
65584,66247
65596,65669
65596,65910
65596,66509
65598,65942
65598,66607
65622,66261
65622,66288
65622,66447
65631,66374
65631,66492
65631,66581
65635,66399
65652,66121
65652,66353
65659,66256
65659,66567
65662,66559
65663,66573
65663,66577
65669,66386
65669,66647
65674,66535
65690,66195
65692,66510
65692,66587
65705,66221
65705,66590
65718,65760
65722,66126
65722,66320
65724,66456
65724,66506
65730,66035
65744,65826
65750,65898
65750,66180
65750,66391
65762,66435
65767,66443
65769,66672
65771,66330
65778,66604
65780,66292
65793,66464
65798,65995
65798,66425
65809,66406
65813,66480
65816,65866
65816,66558
65816,66648
65817,66666
65821,66225
65834,66571
65860,66479
65866,66558
65868,66431
65868,66613
65871,66145
65873,66555
65873,66616
65874,66067
65874,66432
65882,66127
65888,65952
65908,66543
65908,66645
65910,66509
65911,66542
65912,66571
65914,66672
65940,65947
65940,66474
65942,66607
65946,65987
65946,66231
65946,66295
65947,66283
65947,66375
65947,66474
65947,66544
65972,66561
65987,66231
65991,66353
65995,66425
65995,66463
66005,66468
66018,66281
66018,66424
66018,66576
66039,66433
66041,66341
66041,66396
66047,66135
66047,66528
66056,66541
66065,66505
66065,66512
66067,66432
66069,66522
66071,66136
66072,66563
66073,66561
66074,66420
66101,66179
66102,66633
66112,66640
66118,66336
66121,66353
66122,66275
66122,66429
66126,66320
66129,66615
66135,66528
66137,66626
66142,66202
66142,66471
66143,66173
66153,66453
66158,66322
66160,66340
66160,66586
66162,66550
66168,66610
66174,66673
66180,66391
66197,66508
66197,66637
66197,66660
66202,66471
66207,66659
66211,66495
66211,66557
66221,66590
66229,66598
66242,66477
66242,66539
66253,66312
66256,66483
66261,66288
66261,66447
66269,66303
66269,66381
66269,66595
66273,66602
66275,66406
66279,66658
66280,66441
66281,66424
66281,66576
66282,66532
66283,66375
66283,66474
66283,66544
66286,66624
66286,66637
66286,66660
66288,66447
66302,66379
66302,66599
66303,66381
66303,66572
66303,66595
66308,66606
66311,66500
66311,66600
66334,66396
66334,66480
66340,66586
66364,66390
66371,66430
66374,66492
66375,66474
66375,66544
66379,66599
66381,66595
66382,66597
66385,66673
66386,66647
66394,66623
66395,66433
66402,66569
66411,66551
66416,66437
66416,66448
66424,66576
66430,66655
66431,66613
66437,66448
66440,66467
66456,66506
66457,66484
66460,66553
66464,66661
66474,66544
66477,66539
66481,66630
66482,66489
66482,66501
66489,66501
66492,66581
66492,66644
66495,66557
66505,66512
66508,66624
66508,66637
66508,66660
66510,66587
66526,66615
66527,66667
66558,66648
66573,66577
66581,66644
66624,66637
66624,66660
66632,66649
66635,66656
66637,66660
66642,66668
26968,30946
27465,30305
27465,31282
27662,31249
27662,31260
28084,30503
28084,31144
28316,30858
28316,30973
28366,30075
28366,31066
28420,30895
28420,31275
28420,31309
28545,30783
28556,30948
28556,31219
28622,30456
28622,31205
28662,30874
28745,30481
28754,30553
28807,30808
29014,30535
29014,31115
29014,31268
29061,31016
29065,30785
29106,30249
29173,31250
29198,29922
29198,30741
29198,31298
29244,30197
29244,30926
29244,30957
29286,31110
29314,30585
29314,31163
29314,31302
29316,31127
29316,31160
29316,31194
29370,31101
29370,31117
29386,29872
29386,31237
29409,29672
29409,30642
29409,31281
29417,31075
29446,31221
29462,30327
29500,30243
29500,30835
29500,30963
29500,31134
29507,31119
29530,31014
29542,30596
29542,31078
29542,31102
29550,29875
29550,30445
29550,30548
29550,30910
29550,31084
29554,31002
29554,31095
29593,30730
29597,30759
29611,31239
29613,31270
29618,31225
29636,30663
29636,31224
29652,30828
29652,30979
29672,30642
29672,31281
29673,29694
29673,30824
29694,30824
29729,31062
29740,31255
29774,30317
29774,31030
29811,31077
29811,31241
29816,31301
29847,29921
29847,30367
29855,30622
29855,30706
29855,31006
29855,31201
29856,29987
29856,31092
29866,30988
29872,31237
29875,30910
29875,31084
29888,31051
29888,31151
29889,30801
29897,31252
29915,31099
29921,30367
29922,30741
29922,31298
29929,30243
29929,30835
29929,30960
29929,30963
29929,31305
29946,30959
29946,31038
29946,31258
29950,30210
29954,30843
29976,31299
29987,31092
30027,31074
30027,31085
30027,31290
30036,31216
30069,30361
30069,31086
30070,30154
30070,31142
30114,30370
30114,31120
30132,30560
30132,30717
30135,30324
30135,30670
30135,31038
30142,30960
30142,31305
30150,31136
30154,31142
30177,30382
30197,30926
30197,30957
30204,30980
30212,30634
30212,31184
30220,31007
30220,31234
30228,30411
30243,30835
30243,30963
30243,31134
30303,30849
30305,31282
30311,31106
30317,30950
30317,31030
30319,30551
30322,30484
30322,31185
30322,31198
30322,31228
30324,30670
30328,30778
30328,31236
30333,30969
30357,30782
30358,30500
30359,30663
30359,31224
30363,31259
30370,30837
30370,31120
30380,30463
30380,31009
30380,31225
30381,30511
30382,31229
30397,30758
30400,31151
30410,30536
30410,31005
30428,30455
30438,30890
30438,31209
30438,31231
30445,30548
30445,30910
30445,31084
30447,30515
30447,31277
30456,31205
30463,31009
30466,30560
30481,30744
30482,31057
30484,31185
30484,31198
30493,31080
30503,30553
30511,31181
30513,31210
30524,30866
30535,31268
30542,31158
30548,30910
30548,31084
30555,30648
30555,31245
30560,30573
30560,30717
30562,30652
30565,31301
30573,30717
30578,31126
30585,31163
30585,31302
30594,30915
30594,31114
30596,31078
30596,31102
30620,30829
30620,31068
30620,31204
30620,31265
30622,30706
30622,31006
30622,31201
30623,30687
30623,30893
30632,31270
30634,31184
30642,31281
30647,31270
30648,31245
30649,30951
30649,30977
30649,31079
30649,31111
30659,30678
30659,31086
30663,31224
30677,31310
30678,31086
30687,30893
30689,30804
30689,31083
30689,31116
30694,30904
30694,31021
30694,31214
