vehicle_id,shape_collider,length,width
94433,passenger,5,1.8
94434,passenger,5,1.8
94435,passenger,5,1.8
94436,passenger,5,1.8
94437,moped,2.1,0.8
94438,delivery,6.5,2.16
94439,delivery,6.5,2.16
94440,passenger,5,1.8
94442,motorcycle,2.2,0.9
94443,motorcycle,2.2,0.9
94444,moped,2.1,0.8
94445,passenger,5,1.8
94447,passenger,5,1.8
94448,passenger,5,1.8
94449,moped,2.1,0.8
94451,passenger,5,1.8
94452,passenger,5,1.8
94453,motorcycle,2.2,0.9
94454,delivery,6.5,2.16
94455,delivery,6.5,2.16
94456,passenger,5,1.8
94457,delivery,6.5,2.16
94458,moped,2.1,0.8
94459,passenger,5,1.8
94461,moped,2.1,0.8
94462,passenger,5,1.8
94463,moped,2.1,0.8
