,vehicle_id,shape_collider
4664,5968,delivery
4665,5977,moped
4391,5980,passenger
4392,6004,delivery
4668,6014,bus
4393,6020,passenger
4670,6076,moped
4671,6120,passenger
4672,6171,passenger
4394,6197,moped
4395,6223,passenger
4675,6232,passenger
4956,6242,passenger
5244,6243,delivery
4957,6253,passenger
4958,6257,passenger
5247,6258,passenger
5248,6259,bus
4959,6274,delivery
4960,6276,motorcycle
4961,6288,moped
5252,6289,moped
5253,6296,delivery
5254,6297,passenger
5255,6306,passenger
5256,6444,delivery
4962,6492,passenger
5258,6503,moped
5862,6506,passenger
5863,6513,bus
5864,6518,moped
5555,6521,passenger
5556,6522,passenger
5557,6525,delivery
5868,6528,moped
5558,6529,passenger
5559,6531,delivery
5560,6535,moped
5561,6539,moped
5562,6599,bus
5563,6602,delivery
5875,6634,passenger
5564,6662,passenger
5566,6678,delivery
6510,6752,delivery
6191,6756,bus
6512,6757,moped
6192,6758,delivery
6514,6763,delivery
6193,6764,passenger
6516,6767,delivery
6517,6773,delivery
6194,6784,delivery
6519,6792,moped
6520,6797,passenger
6521,6804,moped
6195,6818,motorcycle
6523,6869,delivery
6196,6922,delivery
6197,6935,bus
7190,6983,passenger
6854,6984,motorcycle
7192,6985,passenger
7193,6993,delivery
6855,6998,passenger
6856,7006,moped
6857,7014,passenger
6858,7029,moped
6859,7051,motorcycle
6860,7054,delivery
7200,7070,delivery
6861,7116,moped
7893,7200,passenger
7544,7201,passenger
7895,7209,motorcycle
7545,7210,delivery
7546,7225,passenger
7547,7227,delivery
7548,7231,moped
7549,7240,moped
7901,7243,moped
7550,7245,delivery
7551,7260,bus
7904,7318,moped
7552,7337,moped
8257,7404,delivery
8621,7406,passenger
8258,7408,moped
8623,7410,motorcycle
8624,7412,motorcycle
8259,7414,passenger
8260,7417,moped
8627,7418,moped
8262,7426,delivery
8263,7427,moped
8631,7453,passenger
8264,7475,motorcycle
8265,7496,delivery
8266,7510,moped
8635,7523,passenger
8267,7524,motorcycle
8268,7536,passenger
8269,7547,passenger
8270,7590,moped
9007,7597,delivery
9008,7599,delivery
9384,7601,moped
9385,7602,passenger
9009,7603,delivery
9387,7611,delivery
9010,7617,moped
9011,7624,bus
9012,7636,moped
9391,7637,bus
9013,7647,passenger
9014,7661,delivery
9015,7665,passenger
9395,7750,motorcycle
9396,7761,delivery
9777,7778,motorcycle
9397,7779,moped
9779,7780,delivery
9780,7781,passenger
10169,7783,passenger
10170,7784,passenger
10171,7788,passenger
10172,7789,bus
9781,7792,moped
10174,7794,delivery
10175,7802,moped
9782,7813,passenger
9783,7835,moped
9784,7864,motorcycle
10179,7884,passenger
10180,7890,moped
9785,7897,motorcycle
10182,7945,passenger
10580,7948,delivery
10581,7950,moped
10582,7951,passenger
10583,7953,bus
10989,7955,delivery
10990,7959,moped
10991,7969,passenger
10992,7970,moped
10584,7975,delivery
10588,8005,passenger
10592,8058,moped
10594,8081,passenger
11413,8096,motorcycle
11414,8103,moped
11415,8104,delivery
11416,8105,motorcycle
11835,8106,delivery
11417,8115,passenger
11418,8122,delivery
11419,8125,motorcycle
11420,8128,delivery
11840,8131,moped
11841,8140,moped
11422,8183,moped
12266,8234,delivery
12267,8236,passenger
12699,8238,passenger
12701,8241,passenger
12269,8242,passenger
12270,8245,motorcycle
12704,8247,delivery
12271,8251,delivery
12272,8269,delivery
12274,8291,moped
12275,8296,passenger
12276,8339,moped
12278,8343,moped
12713,8354,passenger
13149,8361,passenger
13592,8362,delivery
13593,8364,moped
13594,8368,delivery
13150,8373,moped
13596,8374,motorcycle
13152,8380,motorcycle
13153,8385,motorcycle
13600,8389,delivery
13601,8394,motorcycle
13154,8397,delivery
13155,8403,moped
13604,8411,bus
13605,8413,moped
13157,8458,motorcycle
14059,8475,moped
14060,8476,passenger
14061,8477,delivery
14521,8484,motorcycle
14522,8490,bus
14062,8493,moped
14063,8499,moped
14064,8517,passenger
14065,8534,moped
14066,8536,delivery
14528,8548,delivery
14529,8552,passenger
14993,8573,delivery
14994,8577,moped
15465,8578,delivery
15466,8585,delivery
15467,8596,passenger
14995,8597,passenger
14996,8599,passenger
14997,8621,moped
14998,8622,delivery
14999,8640,delivery
15473,8648,moped
15948,8661,moped
15949,8664,passenger
15950,8665,delivery
16431,8666,motorcycle
16432,8668,delivery
15951,8677,moped
16434,8680,delivery
15952,8683,passenger
15953,8696,passenger
15954,8704,motorcycle
15955,8726,passenger
17411,8738,motorcycle
17412,8740,motorcycle
16921,8743,passenger
17414,8745,passenger
16922,8746,moped
17416,8747,passenger
17417,8748,motorcycle
17418,8749,moped
16923,8753,delivery
16924,8757,delivery
16925,8765,bus
16926,8776,moped
16927,8780,delivery
16928,8782,moped
17425,8791,passenger
17921,8807,bus
17922,8809,bus
18426,8810,delivery
18427,8812,passenger
18428,8815,passenger
18429,8816,delivery
17923,8819,moped
17924,8824,moped
17925,8835,delivery
17926,8847,moped
17927,8852,motorcycle
18941,8861,passenger
18942,8865,delivery
18943,8866,moped
18944,8873,delivery
18945,8875,passenger
19458,8878,motorcycle
18946,8886,moped
19460,8909,motorcycle
19973,8910,passenger
20493,8915,passenger
20494,8916,passenger
20495,8918,delivery
19974,8921,passenger
19975,8922,delivery
19976,8923,delivery
20499,8925,passenger
19977,8930,moped
20501,8936,motorcycle
19978,8938,moped
19979,8941,moped
19980,8943,bus
21028,8960,moped
21554,8961,bus
21029,8962,moped
21556,8963,delivery
21557,8964,delivery
21558,8966,passenger
21030,8972,moped
21031,8976,moped
21561,8978,delivery
21563,8980,passenger
22093,8987,delivery
22094,8988,passenger
22095,9009,motorcycle
22096,9010,moped
22097,9011,passenger
22632,9013,moped
23167,9014,bus
22633,9015,bus
23169,9017,passenger
23170,9019,passenger
23714,9020,delivery
23171,9021,delivery
23172,9022,motorcycle
23717,9024,passenger
23173,9026,delivery
23174,9029,moped
23175,9030,delivery
23176,9031,motorcycle
23722,9032,passenger
24269,9037,delivery
24814,9040,passenger
24815,9041,bus
24270,9042,moped
24817,9044,delivery
25365,9049,delivery
25918,9053,passenger
25366,9056,passenger
25367,9059,moped
25368,9060,delivery
26475,9065,moped
26476,9068,motorcycle
27586,9069,passenger
27587,9070,delivery
27033,9071,moped
27589,9073,delivery
27590,9074,delivery
28148,9075,passenger
28149,9076,passenger
28150,9077,moped
28708,9080,moped
29265,9081,delivery
29823,9082,passenger
29266,9084,delivery
29267,9085,delivery
30385,9086,passenger
29826,9088,delivery
30949,9089,passenger
30387,9090,passenger
32076,9095,passenger
32077,9096,delivery
32078,9098,delivery
32645,9099,moped
33213,9100,passenger
33782,9101,passenger
34916,9102,passenger
34917,9103,delivery
35484,9104,delivery
36616,9106,moped
36050,9107,moped
36618,9108,passenger
36619,9109,moped
36620,9110,motorcycle
38325,9111,passenger
38326,9112,motorcycle
39465,9114,moped
40604,9115,motorcycle
40605,9116,passenger
40606,9117,passenger
43465,9118,moped
43466,9119,moped
44607,9120,passenger
44608,9121,delivery
45180,9122,passenger
45181,9123,passenger
46899,9124,bus
46900,9125,passenger
47472,9126,delivery
48045,9129,passenger
48615,9131,moped
49186,9132,passenger
49761,9133,delivery
49187,9134,delivery
49188,9135,passenger
49764,9136,passenger
49189,9137,motorcycle
51487,9138,motorcycle
50914,9139,passenger
52060,9140,delivery
52061,9141,passenger
52635,9143,passenger
52636,9144,motorcycle
52637,9145,passenger
53791,9146,motorcycle
54369,9147,moped
55525,9149,bus
56104,9150,bus
56105,9151,delivery
57838,9152,motorcycle
57839,9154,bus
57840,9155,passenger
59000,9156,delivery
62494,9157,bus
62495,9158,delivery
64828,9159,passenger
64829,9160,delivery
66579,9161,moped
66580,9162,bus
67164,9163,passenger
67165,9164,moped
68917,9165,passenger
68918,9166,passenger
69502,9167,moped
70087,9169,delivery
70673,9170,delivery
71846,9173,passenger
71847,9174,delivery
73020,9175,bus
73021,9176,bus
74195,9177,delivery
74196,9178,passenger
75368,9180,motorcycle
75958,9181,delivery
75369,9182,moped
77730,9184,motorcycle
79498,9185,motorcycle
79499,9186,motorcycle
79500,9187,moped
80677,9189,motorcycle
80678,9190,moped
81860,9192,delivery
81269,9193,passenger
81862,9194,moped
84228,9196,passenger
84229,9197,delivery
84230,9198,passenger
84821,9199,delivery
85411,9201,delivery
85412,9202,passenger
86004,9205,passenger
86595,9207,moped
87187,9209,passenger
87188,9211,passenger
88371,9213,delivery
88962,9214,passenger
88963,9215,motorcycle
88964,9216,moped
88965,9217,passenger
90154,9218,delivery
90750,9220,delivery
91935,9221,delivery
92525,9224,passenger
92526,9225,delivery
93118,9228,delivery
93119,9230,delivery
93711,9232,delivery
94895,9234,passenger
94896,9235,passenger
94304,9236,passenger
94305,9237,delivery
95491,9238,delivery
95492,9242,moped
96683,9243,delivery
97282,9244,motorcycle
96684,9245,passenger
96685,9246,motorcycle
100275,9248,passenger
141458,9249,delivery
145353,9250,passenger
145354,9251,motorcycle
145355,9252,delivery
145356,9253,motorcycle
146473,9254,passenger
146474,9255,delivery
148708,9256,passenger
148709,9257,delivery
148710,9258,passenger
149831,9260,delivery
152637,9261,moped
152638,9262,delivery
156014,9263,passenger
156015,9264,passenger
158835,9265,passenger
158836,9266,motorcycle
163363,9267,motorcycle
163364,9268,bus
163365,9269,moped
168475,9270,motorcycle
168476,9271,passenger
168477,9272,delivery
169046,9274,moped
169047,9275,delivery
169618,9276,delivery
171333,9277,passenger
174199,9278,passenger
174200,9279,passenger
175350,9280,moped
174775,9281,delivery
178816,9282,passenger
178817,9283,bus
179976,9284,passenger
180557,9285,passenger
183463,9286,delivery
183464,9287,delivery
186372,9288,delivery
186373,9289,delivery
187536,9291,passenger
188701,9292,delivery
189285,9293,passenger
190454,9294,passenger
193377,9295,delivery
193378,9296,moped
193966,9297,moped
196321,9298,delivery
196322,9299,bus
197500,9300,delivery
198088,9301,motorcycle
198089,9302,passenger
198090,9303,motorcycle
199272,9305,delivery
201640,9306,passenger
202825,9308,delivery
203416,9309,delivery
203417,9310,delivery
204008,9311,passenger
204600,9312,delivery
204601,9314,passenger
205195,9315,delivery
206978,9317,motorcycle
208164,9318,passenger
208165,9319,delivery
208758,9320,passenger
209352,9322,passenger
209353,9323,delivery
209948,9324,delivery
210544,9325,delivery
211142,9326,passenger
212335,9327,motorcycle
212336,9328,passenger
215327,9329,motorcycle
275114,9330,passenger
277422,9331,passenger
279738,9332,delivery
279739,9333,moped
283221,9334,passenger
283222,9335,passenger
286136,9336,motorcycle
286137,9337,passenger
287889,9338,bus
287890,9339,passenger
291401,9340,bus
293154,9341,delivery
293155,9342,passenger
293740,9343,passenger
294326,9345,passenger
294914,9346,delivery
296087,9347,motorcycle
296088,9348,bus
297261,9349,delivery
298439,9351,moped
300207,9352,passenger
300208,9353,motorcycle
301385,9354,delivery
301974,9355,motorcycle
301975,9356,moped
301976,9357,moped
312043,9358,motorcycle
312044,9359,motorcycle
315617,9360,delivery
315618,9361,bus
317999,9363,delivery
319190,9364,delivery
320973,9365,passenger
320974,9366,moped
321570,9367,delivery
321571,9368,delivery
322169,9369,passenger
324561,9371,passenger
325756,9372,motorcycle
325757,9373,passenger
325758,9374,motorcycle
327555,9375,passenger
327556,9376,passenger
329351,9377,delivery
329951,9379,moped
334148,9380,delivery
334149,9381,passenger
338344,9383,delivery
338942,9384,bus
339541,9386,passenger
340141,9387,passenger
341938,9389,passenger
343133,9390,passenger
343134,9391,motorcycle
343135,9392,passenger
345532,9393,motorcycle
345533,9394,passenger
347328,9395,moped
347329,9396,passenger
347928,9397,motorcycle
347929,9398,motorcycle
353327,9400,passenger
353926,9401,moped
354526,9402,moped
356921,9403,delivery
356922,9404,delivery
357520,9405,passenger
357521,9406,motorcycle
357522,9407,bus
359918,9408,bus
359919,9409,passenger
360517,9410,motorcycle
361709,9411,passenger
361113,9412,delivery
362905,9416,motorcycle
362906,9418,passenger
365303,9420,passenger
373703,9421,passenger
374896,9422,passenger
374897,9425,passenger
376683,9426,delivery
376088,9427,delivery
376685,9431,delivery
377283,9433,delivery
379078,9435,delivery
380277,9437,delivery
381470,9438,moped
382070,9439,delivery
381471,9440,delivery
381472,9441,passenger
385067,9442,passenger
385068,9443,moped
385667,9444,motorcycle
385668,9445,passenger
391065,9446,passenger
392260,9448,moped
392261,9449,delivery
392262,9450,delivery
398860,9452,motorcycle
408457,9454,moped
409656,9455,passenger
415049,9456,delivery
415645,9458,delivery
415646,9459,passenger
415647,9460,delivery
415648,9461,delivery
416248,9462,moped
418645,9464,motorcycle
419844,9465,delivery
421641,9466,moped
422840,9468,passenger
424635,9469,bus
425233,9471,delivery
425234,9472,delivery
425834,9473,delivery
447431,9474,passenger
447432,9475,passenger
451629,9476,delivery
451630,9477,passenger
455227,9478,motorcycle
455228,9479,passenger
469625,9480,moped
470822,9482,moped
471421,9483,passenger
471422,9484,passenger
479219,9485,delivery
479220,9486,delivery
486417,9487,delivery
487615,9489,passenger
488215,9490,motorcycle
490608,9491,passenger
490609,9492,passenger
490610,9493,moped
490611,9494,delivery
493611,9495,passenger
500808,9496,passenger
500809,9497,passenger
507406,9498,delivery
507407,9499,passenger
513405,9500,bus
513406,9501,moped
520003,9502,delivery
520004,9503,passenger
524797,9504,motorcycle
524798,9505,delivery
524799,9506,passenger
524800,9507,passenger
535000,9508,passenger
540397,9509,delivery
540398,9510,moped
543998,9511,passenger
547595,9512,moped
547596,9513,bus
550596,9514,passenger
560792,9515,delivery
560793,9516,passenger
560794,9517,moped
561994,9518,motorcycle
563794,9519,passenger
564994,9520,moped
565594,9521,delivery
566794,9522,delivery
568594,9523,bus
568595,9524,moped
571596,9525,passenger
573395,9526,motorcycle
573396,9527,motorcycle
581193,9528,passenger
581194,9529,motorcycle
587191,9530,passenger
587192,9531,passenger
589588,9532,delivery
589589,9533,bus
590788,9535,passenger
597388,9536,passenger
598585,9537,moped
598586,9538,passenger
609383,9539,passenger
609384,9540,delivery
615981,9541,delivery
615982,9542,passenger
616580,9543,motorcycle
617179,9544,passenger
617180,9545,passenger
618380,9546,motorcycle
626180,9547,motorcycle
635177,9548,delivery
635178,9549,delivery
638775,9550,delivery
638776,9551,delivery
641777,9552,delivery
646574,9553,delivery
646575,9554,passenger
659775,9555,delivery
666375,9556,delivery
675372,9557,moped
675373,9558,delivery
677769,9559,motorcycle
678367,9560,delivery
677770,9561,moped
678967,9562,motorcycle
678968,9563,moped
680163,9564,delivery
680164,9565,delivery
680763,9566,moped
681960,9568,bus
683159,9570,delivery
683756,9571,bus
683757,9572,passenger
684355,9574,passenger
684356,9575,passenger
686150,9576,passenger
686151,9577,delivery
686152,9578,passenger
689149,9579,passenger
689150,9580,delivery
695143,9581,delivery
695144,9582,motorcycle
695739,9583,motorcycle
695740,9584,passenger
695741,9585,delivery
696338,9586,passenger
696339,9587,delivery
697534,9589,passenger
697535,9591,passenger
698135,9592,passenger
701130,9593,moped
701131,9594,delivery
702924,9597,motorcycle
702925,9598,motorcycle
704121,9599,delivery
703524,9600,passenger
705315,9601,delivery
705911,9603,delivery
705912,9604,bus
705913,9605,motorcycle
705914,9606,passenger
705915,9607,passenger
708912,9608,moped
708913,9609,motorcycle
710110,9610,moped
710111,9611,motorcycle
716108,9612,passenger
716109,9613,passenger
717906,9614,passenger
717907,9615,delivery
723904,9616,passenger
723905,9617,passenger
733500,9618,bus
733501,9619,delivery
734098,9620,motorcycle
734696,9621,delivery
734697,9622,passenger
735896,9624,passenger
737693,9625,passenger
737694,9626,moped
741891,9627,moped
741892,9628,delivery
747289,9629,passenger
747290,9630,delivery
748485,9631,delivery
748486,9632,motorcycle
750883,9635,motorcycle
754480,9636,delivery
754481,9637,passenger
756278,9638,delivery
756279,9639,passenger
758679,9640,moped
759876,9642,delivery
761674,9643,passenger
771269,9644,passenger
771270,9645,delivery
771867,9646,motorcycle
772465,9648,motorcycle
772466,9649,delivery
773665,9650,passenger
782058,9651,passenger
782059,9652,passenger
782060,9653,bus
783259,9655,passenger
785656,9656,passenger
785657,9657,moped
789254,9658,bus
789255,9659,moped
793450,9660,delivery
794048,9662,moped
794049,9663,passenger
794649,9664,passenger
797046,9665,delivery
797047,9666,delivery
799442,9667,passenger
799443,9668,passenger
800042,9669,passenger
801239,9671,delivery
801838,9672,bus
801839,9673,passenger
805436,9674,motorcycle
805437,9675,passenger
814432,9676,passenger
814433,9677,delivery
815032,9678,bus
816229,9680,delivery
816828,9681,passenger
816829,9682,delivery
821626,9683,delivery
821627,9684,moped
825224,9685,passenger
825225,9686,bus
829418,9687,moped
829419,9688,delivery
829420,9689,passenger
830619,9691,delivery
833616,9692,delivery
833617,9693,delivery
841414,9694,passenger
841415,9695,delivery
845012,9696,delivery
846211,9698,motorcycle
847408,9699,moped
847409,9700,bus
849206,9701,passenger
849207,9702,moped
852204,9703,passenger
853401,9705,motorcycle
854000,9706,delivery
854001,9707,delivery
859398,9709,delivery
860593,9710,motorcycle
860594,9711,passenger
862991,9714,passenger
865388,9715,bus
865389,9716,passenger
867786,9717,moped
868977,9721,delivery
868978,9723,bus
870771,9724,delivery
870173,9726,delivery
871971,9727,passenger
881564,9728,passenger
881565,9729,moped
881566,9730,passenger
882763,9732,passenger
883362,9734,motorcycle
884561,9735,passenger
886358,9736,moped
888156,9738,passenger
891153,9739,motorcycle
892348,9741,delivery
892349,9742,passenger
892350,9743,motorcycle
894747,9744,delivery
894748,9745,passenger
902545,9746,motorcycle
902546,9747,delivery
904343,9748,motorcycle
904344,9749,passenger
911539,9750,delivery
911540,9751,passenger
912137,9752,passenger
912138,9753,bus
913330,9754,delivery
912735,9755,motorcycle
913332,9756,motorcycle
913333,9757,bus
913932,9758,bus
915127,9760,motorcycle
915128,9761,delivery
915129,9762,motorcycle
916326,9763,delivery
916327,9764,motorcycle
918118,9765,delivery
918119,9766,passenger
918120,9767,passenger
918121,9768,delivery
918720,9769,delivery
918721,9770,motorcycle
919918,9771,delivery
919919,9772,moped
921114,9773,delivery
921115,9774,passenger
921710,9775,passenger
922306,9777,delivery
922307,9778,bus
922308,9779,passenger
923497,9781,passenger
923498,9782,bus
924096,9784,motorcycle
923499,9785,motorcycle
924098,9786,delivery
925896,9788,passenger
927691,9789,passenger
927693,9790,bus
928290,9792,passenger
928888,9793,moped
929487,9794,motorcycle
930686,9796,delivery
932483,9797,passenger
932484,9798,delivery
935481,9799,bus
935482,9800,delivery
938477,9801,delivery
939075,9803,passenger
939674,9804,passenger
939675,9805,passenger
949272,9806,passenger
949273,9807,delivery
954670,9808,passenger
954671,9809,passenger
962468,9810,delivery
962469,9811,passenger
965466,9812,delivery
965467,9813,passenger
973864,9814,delivery
973865,9815,motorcycle
975062,9816,motorcycle
975063,9817,delivery
982260,9818,delivery
982261,9819,passenger
984658,9820,moped
984659,9821,passenger
988856,9822,delivery
988857,9823,delivery
991254,9824,delivery
991255,9825,passenger
996652,9826,passenger
996653,9827,passenger
1001450,9828,passenger
1001451,9829,passenger
1016448,9830,delivery
1016449,9831,moped
1017646,9832,bus
1017647,9833,motorcycle
1026044,9834,passenger
1026045,9835,passenger
1028442,9836,delivery
1028443,9837,bus
1031440,9838,motorcycle
1031441,9839,motorcycle
1032638,9840,passenger
1033837,9842,passenger
1038634,9843,delivery
1038635,9844,passenger
1041635,9845,passenger
1043435,9846,motorcycle
1053628,9847,delivery
1053629,9848,delivery
1054226,9849,delivery
1054227,9850,delivery
1054228,9851,moped
1056026,9853,motorcycle
1057215,9854,motorcycle
1057216,9856,motorcycle
1057217,9857,moped
1057813,9858,passenger
1058412,9859,motorcycle
1057814,9860,passenger
1057815,9861,moped
1058415,9862,delivery
1059612,9863,passenger
1059613,9864,delivery
1061405,9865,passenger
1060806,9866,delivery
1060807,9867,delivery
1060808,9868,motorcycle
1063205,9869,delivery
1063206,9870,passenger
1065603,9871,delivery
1065604,9872,delivery
1067399,9873,passenger
1067400,9874,passenger
1067999,9875,passenger
1068000,9876,delivery
1069195,9877,motorcycle
1069196,9878,bus
1070991,9881,delivery
1070992,9882,moped
1072189,9883,motorcycle
1072190,9884,passenger
1074587,9885,passenger
1075786,9887,delivery
1079383,9888,passenger
1080582,9890,delivery
